# Renewables.ninja Solar PV (Point API) - 37.279, 127.447 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Asia/Seoul, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Asia/Seoul"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""37.27909"""," ""lon"": ""127.446996"""," ""date_from"": ""2015-01-01"""," ""date_to"": ""2015-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
2015-01-01 00:00,01-01-15 9:00,0.482,0.406,0.09,-10.352,,,0.496,,,,,,,,,,
2015-01-01 01:00,01-01-15 10:00,0.674,0.612,0.106,-8.866,,,0.718,,,,,,,,,,
2015-01-01 02:00,01-01-15 11:00,0.784,0.746,0.114,-7.65,,,0.86,,,,,,,,,,
2015-01-01 03:00,01-01-15 12:00,0.814,0.786,0.117,-6.707,,,0.903,,,,,,,,,,
2015-01-01 04:00,01-01-15 13:00,0.774,0.739,0.115,-6.084,,,0.854,,,,,,,,,,
2015-01-01 05:00,01-01-15 14:00,0.659,0.603,0.108,-5.848,,,0.711,,,,,,,,,,
2015-01-01 06:00,01-01-15 15:00,0.465,0.396,0.093,-6.092,,,0.489,,,,,,,,,,
2015-01-01 07:00,01-01-15 16:00,0.192,0.15,0.055,-7.066,,,0.205,,,,,,,,,,
2015-01-01 08:00,01-01-15 17:00,0,0.002,0.002,-9.185,,,0.004,,,,,,,,,,
2015-01-01 09:00,01-01-15 18:00,0,0,0,-10.64,,,0,,,,,,,,,,
2015-01-01 10:00,01-01-15 19:00,0,0,0,-11.444,,,0,,,,,,,,,,
2015-01-01 11:00,01-01-15 20:00,0,0,0,-12.068,,,0,,,,,,,,,,
2015-01-01 12:00,01-01-15 21:00,0,0,0,-12.615,,,0,,,,,,,,,,
2015-01-01 13:00,01-01-15 22:00,0,0,0,-12.961,,,0,,,,,,,,,,
2015-01-01 14:00,01-01-15 23:00,0,0,0,-12.363,,,0,,,,,,,,,,
2015-01-01 15:00,02-01-15 0:00,0,0,0,-11.486,,,0,,,,,,,,,,
2015-01-01 16:00,02-01-15 1:00,0,0,0,-11.119,,,0,,,,,,,,,,
2015-01-01 17:00,02-01-15 2:00,0,0,0,-10.885,,,0,,,,,,,,,,
2015-01-01 18:00,02-01-15 3:00,0,0,0,-10.922,,,0,,,,,,,,,,
2015-01-01 19:00,02-01-15 4:00,0,0,0,-11.632,,,0,,,,,,,,,,
2015-01-01 20:00,02-01-15 5:00,0,0,0,-12.369,,,0,,,,,,,,,,
2015-01-01 21:00,02-01-15 6:00,0,0,0,-12.631,,,0,,,,,,,,,,
2015-01-01 22:00,02-01-15 7:00,0,0.001,0.002,-12.561,,,0.003,,,,,,,,,,
2015-01-01 23:00,02-01-15 8:00,0.066,0.03,0.05,-11.457,,,0.08,,,,,,,,,,
2015-01-02 00:00,02-01-15 9:00,0.149,0.046,0.115,-9.71,,,0.161,,,,,,,,,,
2015-01-02 01:00,02-01-15 10:00,0.309,0.139,0.182,-7.757,,,0.321,,,,,,,,,,
2015-01-02 02:00,02-01-15 11:00,0.524,0.357,0.197,-6.023,,,0.554,,,,,,,,,,
2015-01-02 03:00,02-01-15 12:00,0.679,0.573,0.167,-4.674,,,0.74,,,,,,,,,,
2015-01-02 04:00,02-01-15 13:00,0.701,0.627,0.143,-3.954,,,0.77,,,,,,,,,,
2015-01-02 05:00,02-01-15 14:00,0.631,0.564,0.121,-3.809,,,0.685,,,,,,,,,,
2015-01-02 06:00,02-01-15 15:00,0.467,0.399,0.095,-4.167,,,0.494,,,,,,,,,,
2015-01-02 07:00,02-01-15 16:00,0.2,0.159,0.056,-5.37,,,0.215,,,,,,,,,,
2015-01-02 08:00,02-01-15 17:00,0,0.003,0.002,-8.199,,,0.005,,,,,,,,,,
2015-01-02 09:00,02-01-15 18:00,0,0,0,-9.62,,,0,,,,,,,,,,
2015-01-02 10:00,02-01-15 19:00,0,0,0,-10.569,,,0,,,,,,,,,,
2015-01-02 11:00,02-01-15 20:00,0,0,0,-11.271,,,0,,,,,,,,,,
2015-01-02 12:00,02-01-15 21:00,0,0,0,-11.845,,,0,,,,,,,,,,
2015-01-02 13:00,02-01-15 22:00,0,0,0,-12.261,,,0,,,,,,,,,,
2015-01-02 14:00,02-01-15 23:00,0,0,0,-12.452,,,0,,,,,,,,,,
2015-01-02 15:00,03-01-15 0:00,0,0,0,-12.594,,,0,,,,,,,,,,
2015-01-02 16:00,03-01-15 1:00,0,0,0,-12.788,,,0,,,,,,,,,,
2015-01-02 17:00,03-01-15 2:00,0,0,0,-13.014,,,0,,,,,,,,,,
2015-01-02 18:00,03-01-15 3:00,0,0,0,-13.223,,,0,,,,,,,,,,
2015-01-02 19:00,03-01-15 4:00,0,0,0,-13.324,,,0,,,,,,,,,,
2015-01-02 20:00,03-01-15 5:00,0,0,0,-13.146,,,0,,,,,,,,,,
2015-01-02 21:00,03-01-15 6:00,0,0,0,-12.971,,,0,,,,,,,,,,
2015-01-02 22:00,03-01-15 7:00,0,0.002,0.002,-13.118,,,0.004,,,,,,,,,,
2015-01-02 23:00,03-01-15 8:00,0.203,0.154,0.057,-12.132,,,0.211,,,,,,,,,,
2015-01-03 00:00,03-01-15 9:00,0.466,0.382,0.099,-9.62,,,0.481,,,,,,,,,,
2015-01-03 01:00,03-01-15 10:00,0.64,0.565,0.121,-6.639,,,0.686,,,,,,,,,,
2015-01-03 02:00,03-01-15 11:00,0.729,0.674,0.134,-3.574,,,0.808,,,,,,,,,,
2015-01-03 03:00,03-01-15 12:00,0.757,0.714,0.138,-1.855,,,0.852,,,,,,,,,,
2015-01-03 04:00,03-01-15 13:00,0.712,0.663,0.137,-0.526,,,0.8,,,,,,,,,,
2015-01-03 05:00,03-01-15 14:00,0.597,0.529,0.128,0.203,,,0.657,,,,,,,,,,
2015-01-03 06:00,03-01-15 15:00,0.386,0.303,0.112,0.209,,,0.415,,,,,,,,,,
2015-01-03 07:00,03-01-15 16:00,0.134,0.091,0.061,-1.6,,,0.152,,,,,,,,,,
2015-01-03 08:00,03-01-15 17:00,0,0.001,0.002,-3.904,,,0.003,,,,,,,,,,
2015-01-03 09:00,03-01-15 18:00,0,0,0,-4.124,,,0,,,,,,,,,,
2015-01-03 10:00,03-01-15 19:00,0,0,0,-4.089,,,0,,,,,,,,,,
2015-01-03 11:00,03-01-15 20:00,0,0,0,-4.187,,,0,,,,,,,,,,
2015-01-03 12:00,03-01-15 21:00,0,0,0,-4.568,,,0,,,,,,,,,,
2015-01-03 13:00,03-01-15 22:00,0,0,0,-4.745,,,0,,,,,,,,,,
2015-01-03 14:00,03-01-15 23:00,0,0,0,-4.914,,,0,,,,,,,,,,
2015-01-03 15:00,04-01-15 0:00,0,0,0,-5.223,,,0,,,,,,,,,,
2015-01-03 16:00,04-01-15 1:00,0,0,0,-5.204,,,0,,,,,,,,,,
2015-01-03 17:00,04-01-15 2:00,0,0,0,-5.196,,,0,,,,,,,,,,
2015-01-03 18:00,04-01-15 3:00,0,0,0,-4.907,,,0,,,,,,,,,,
2015-01-03 19:00,04-01-15 4:00,0,0,0,-4.565,,,0,,,,,,,,,,
2015-01-03 20:00,04-01-15 5:00,0,0,0,-4.233,,,0,,,,,,,,,,
2015-01-03 21:00,04-01-15 6:00,0,0,0,-4.248,,,0,,,,,,,,,,
2015-01-03 22:00,04-01-15 7:00,0,0,0.001,-4.122,,,0.001,,,,,,,,,,
2015-01-03 23:00,04-01-15 8:00,0.024,0.006,0.032,-3.189,,,0.038,,,,,,,,,,
2015-01-04 00:00,04-01-15 9:00,0.085,0.012,0.09,-1.343,,,0.102,,,,,,,,,,
2015-01-04 01:00,04-01-15 10:00,0.167,0.03,0.156,0.09,,,0.186,,,,,,,,,,
2015-01-04 02:00,04-01-15 11:00,0.27,0.075,0.219,2.001,,,0.294,,,,,,,,,,
2015-01-04 03:00,04-01-15 12:00,0.46,0.264,0.244,4.249,,,0.508,,,,,,,,,,
2015-01-04 04:00,04-01-15 13:00,0.509,0.35,0.218,5.416,,,0.568,,,,,,,,,,
2015-01-04 05:00,04-01-15 14:00,0.413,0.264,0.192,5.553,,,0.456,,,,,,,,,,
2015-01-04 06:00,04-01-15 15:00,0.255,0.138,0.143,4.709,,,0.281,,,,,,,,,,
2015-01-04 07:00,04-01-15 16:00,0.078,0.035,0.062,1.976,,,0.097,,,,,,,,,,
2015-01-04 08:00,04-01-15 17:00,0,0.001,0.002,0.076,,,0.003,,,,,,,,,,
2015-01-04 09:00,04-01-15 18:00,0,0,0,-0.08,,,0,,,,,,,,,,
